CATEGORY,SUBCATEGORY,SOURCE,UNIT,FREQUENCY,CURRENCY,IDENTIFIER,TITLE,DATE,INDIA,ANDHRAPRADESH,ARUNACHALPRADESH,ASSAM,BIHAR,CHHATTISGARH,GOA,GUJARAT,HARYANA,HIMACHALPRADESH,JAMMUANDKASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYAPRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUNJAB,RAJASTHAN,SIKKIM,TAMILNADU,TELANGANA,TRIPURA,UTTARPRADESH,UTTARAKHAND,WESTBENGAL,ANDAMANANDNICOBARISLANDS,CHANDIGARH,DELHI,PUDUCHERRY,DAMANDDIU,DADRAANDNAGARHAVELI,LAKSHWADEEP,OLDANDHRAPRADESH,OLDBIHAR,OLDMADHYAPRADESH,OLDUTTARPRADESH
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPSKABSGLA,Total Population by Sex - South Korea,31-12-2021,51830139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPTHABSGLA,Total Population by Sex - Thailand ,31-12-2018,71127802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPTHABSGLA,Total Population by Sex - Thailand ,31-12-2019,71307763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPTHABSGLA,Total Population by Sex - Thailand ,31-12-2020,71475665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPTHABSGLA,Total Population by Sex - Thailand ,31-12-2021,71601103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Bank,Number,Annually,Null,DMPOPTRABSGLA,Total Population by Sex - Turkiye ,31-12-2018,82809304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Bank,Number,Annually,Null,DMPOPTRABSGLA,Total Population by Sex - Turkiye ,31-12-2019,83481684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Bank,Number,Annually,Null,DMPOPTRABSGLA,Total Population by Sex - Turkiye ,31-12-2020,84135428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Bank,Number,Annually,Null,DMPOPTRABSGLA,Total Population by Sex - Turkiye ,31-12-2021,84775404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPUKABSGLA,Total Population by Sex - UK,31-12-2018,66432994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPUKABSGLA,Total Population by Sex - UK,31-12-2019,66778659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPUKABSGLA,Total Population by Sex - UK,31-12-2020,67059474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPUKABSGLA,Total Population by Sex - UK,31-12-2021,67281040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPUSABSGLA,Total Population by Sex - USA,31-12-2018,332140038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPUSABSGLA,Total Population by Sex - USA,31-12-2019,334319671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPUSABSGLA,Total Population by Sex - USA,31-12-2020,335942004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global Indicators,Total Population by Sex,World Population Prospects,Number,Annually,Null,DMPOPUSABSGLA,Total Population by Sex - USA,31-12-2021,336997624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
